Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ParentId,ClosedDate,OwnerDisplayName
1,1,3,2016-08-02T15:39:14.947,8,396,8,10135,2018-10-18T10:45:18.660,2018-10-18T10:45:18.660,"What is ""backprop""?","neural-networks,backpropagation,terminology,definitions",3,3,1,,,
2,1,9,2016-08-02T15:40:20.623,10,443,8,2444,2019-02-23T22:36:19.090,2019-02-23T22:36:37.133,How does noise affect generalization?,"neural-networks,machine-learning,statistical-ai,generalization",3,0,1,,,
3,2,,2016-08-02T15:40:24.820,12,,4,,,2016-08-02T15:40:24.820,,,,0,,1,,
4,1,12,2016-08-02T15:41:22.020,28,870,8,10135,2018-10-18T10:45:15.213,2018-10-18T10:45:15.213,How to find the optimal number of neurons per layer?,"deep-network,search,neurons",4,0,10,,,
5,1,14,2016-08-02T15:42:08.177,-3,2211,5,10135,2018-10-18T10:44:51.623,2018-10-18T10:44:51.623,How to program AI in Mindstorms,"python,mindstorms",2,4,,,2016-08-02T16:27:32.070,
6,1,20,2016-08-02T15:43:35.460,6,186,29,2444,2019-06-15T18:25:58.513,2019-06-15T18:29:55.520,Are humans intelligent according to the definition of an intelligent agent?,"philosophy,definitions,intelligent-agent",2,0,,,,
7,1,,2016-08-02T15:45:09.070,10,434,26,95,2016-08-04T14:09:43.583,2016-08-04T14:09:43.583,"Why does Stephen Hawking say ""Artificial Intelligence will kill us all""?",intelligent-agent,6,6,1,,2016-08-04T01:36:40.283,
8,2,,2016-08-02T15:45:48.597,2,,8,,,2016-08-02T15:45:48.597,,,,0,,5,,
9,2,,2016-08-02T15:47:02.993,9,,4,2444,2019-02-23T22:36:37.133,2019-02-23T22:36:37.133,,,,0,,2,,
10,1,32,2016-08-02T15:47:56.593,37,1563,8,10135,2018-10-18T10:44:33.687,2019-06-22T21:54:39.900,What is fuzzy logic?,"deep-network,terminology,fuzzy-logic",5,0,16,,,
11,2,,2016-08-02T15:48:56.970,8,,10,,,2016-08-02T15:48:56.970,,,,0,,2,,
12,2,,2016-08-02T15:50:27.867,15,,4,4,2016-09-29T00:24:06.177,2016-09-29T00:24:06.177,,,,0,,4,,
13,1,163,2016-08-02T15:52:19.413,9,106,38,14723,2018-04-12T02:30:42.823,2018-04-12T02:30:42.823,"Can a single neural network handle recognizing two types of objects, or should it be split into two smaller networks?","neural-networks,image-recognition",1,0,,,,
14,2,,2016-08-02T15:52:24.380,4,,52,,,2016-08-02T15:52:24.380,,,,0,,5,,
15,1,,2016-08-02T15:52:50.827,34,2523,9,95,2016-08-04T14:10:10.990,2018-04-11T20:16:35.997,"Is the Turing Test, or any of its variants, a reliable test of artificial intelligence?","turing-test,strong-ai,intelligent-agent,weak-ai",6,2,9,,,
16,1,142,2016-08-02T15:53:00.447,6,161,8,1671,2018-04-14T01:43:24.667,2018-04-14T01:43:24.817,"What is ""early stopping"" in relation to AI, and why is it important?","ai-basics,definitions,overfitting,early-stopping,regularization",1,1,1,,,
17,1,45,2016-08-02T15:53:38.273,31,1046,55,4302,2018-10-18T07:13:52.733,2018-12-09T20:40:29.377,What is the concept of the technological singularity?,"philosophy,singularity",4,2,11,,,
18,2,,2016-08-02T15:54:26.937,3,,29,,,2016-08-02T15:54:26.937,,,,0,,7,,
19,2,,2016-08-02T15:54:29.263,4,,52,,,2016-08-02T15:54:29.263,,,,1,,7,,
20,2,,2016-08-02T15:54:45.237,2,,42,2444,2019-06-15T18:29:55.520,2019-06-15T18:29:55.520,,,,0,,6,,
21,1,,2016-08-02T15:55:15.957,3,62,8,145,2017-04-23T02:22:19.597,2017-04-23T02:22:19.597,What are the methods of optimizing overfitted models?,"deep-network,overfitting,optimization",1,0,,,,
22,2,,2016-08-02T15:56:10.167,5,,33,,,2016-08-02T15:56:10.167,,,,2,,7,,
23,2,,2016-08-02T15:57:19.303,3,,4,,,2016-08-02T15:57:19.303,,,,0,,7,,
24,2,,2016-08-02T15:57:48.363,3,,56,56,2016-08-02T16:46:21.237,2016-08-02T16:46:21.237,,,,2,,7,,
25,2,,2016-08-02T15:58:13.970,3,,10,,,2016-08-02T15:58:13.970,,,,0,,7,,
26,1,189,2016-08-02T15:58:31.413,22,1204,55,2444,2016-12-23T05:52:15.560,2018-04-12T02:30:09.917,How could emotional intelligence be implemented?,"turing-test,emotional-intelligence",5,1,7,,,
27,2,,2016-08-02T16:01:59.740,10,,29,,,2016-08-02T16:01:59.740,,,,0,,15,,
28,1,143,2016-08-02T16:02:44.553,10,4210,55,2444,2019-06-20T20:36:38.073,2019-06-20T21:03:43.207,Is a genetic algorithm an example of artificial intelligence?,"philosophy,genetic-algorithms,terminology",5,0,2,,,
29,5,,2016-08-02T16:03:16.133,0,,5,5,2016-08-04T14:45:26.583,2016-08-04T14:45:26.583,,,,0,,,,
30,4,,2016-08-02T16:03:16.133,0,,-1,-1,2016-08-02T16:03:16.133,2016-08-02T16:03:16.133,,,,0,,,,
31,2,,2016-08-02T16:04:09.333,7,,62,,,2016-08-02T16:04:09.333,,,,0,,10,,
32,2,,2016-08-02T16:04:39.867,42,,4,26615,2019-06-22T21:54:39.900,2019-06-22T21:54:39.900,,,,1,,10,,
33,2,,2016-08-02T16:04:57.997,3,,8,14723,2018-04-11T16:38:28.877,2018-04-11T16:38:28.877,,,,3,,17,,
35,1,,2016-08-02T16:05:26.390,71,11511,69,2444,2019-05-02T16:09:06.300,2019-06-25T19:51:26.780,What is the difference between artificial intelligence and machine learning?,"machine-learning,terminology,comparison",17,0,24,,,
36,1,114,2016-08-02T16:06:25.853,37,1204,29,29,2016-08-02T19:13:49.690,2018-04-12T02:34:20.583,To what extent can quantum computers help to develop Artificial Intelligence?,quantum-computing,4,1,11,,,
37,1,,2016-08-02T16:07:29.317,6,2124,55,,,2016-08-03T06:37:01.983,What is a Markov chain and how can it be used in creating artificial intelligence?,"genetic-algorithms,markov-chain,probability",2,0,5,,,
38,2,,2016-08-02T16:08:06.920,2,,33,2444,2019-06-20T21:03:43.207,2019-06-20T21:03:43.207,,,,0,,28,,
39,2,,2016-08-02T16:08:09.103,15,,10,,,2016-08-02T16:08:09.103,,,,0,,15,,
40,1,44,2016-08-02T16:08:23.377,9,1034,8,10,2016-08-02T16:10:22.307,2018-04-12T02:30:04.720,"What is the ""dropout"" technique?","deep-network,overfitting,performance",4,0,3,,,
41,1,65,2016-08-02T16:08:34.350,10,814,72,29,2016-08-03T08:04:16.350,2019-06-07T19:54:42.090,Can the IQ of an AI program be measured?,intelligence-testing,4,1,2,,,
42,1,51,2016-08-02T16:09:25.427,5,2213,8,17488,2018-08-21T09:05:19.073,2018-08-21T09:05:19.073,What is the purpose of the hidden layers?,hidden-layers,2,0,2,,,
43,2,,2016-08-02T16:10:01.630,18,,47,47,2017-05-09T16:16:07.297,2017-05-09T16:16:07.297,,,,0,,10,,
44,2,,2016-08-02T16:12:08.767,7,,10,12133,2018-01-17T00:30:27.303,2018-01-17T00:30:27.303,,,,0,,40,,
